run	V(output)
Step Information: Temp=-45  (Step: 1/10)
1.000000000000000e+00	2.517493e+00
2.000000000000000e+00	2.481340e+00
3.000000000000000e+00	2.505985e+00
4.000000000000000e+00	2.520076e+00
5.000000000000000e+00	2.499288e+00
6.000000000000000e+00	2.506337e+00
7.000000000000000e+00	2.517222e+00
8.000000000000000e+00	2.492642e+00
9.000000000000000e+00	2.513215e+00
1.000000000000000e+01	2.490666e+00
1.100000000000000e+01	2.489101e+00
1.200000000000000e+01	2.511748e+00
1.300000000000000e+01	2.508536e+00
1.400000000000000e+01	2.498682e+00
1.500000000000000e+01	2.503218e+00
1.600000000000000e+01	2.487995e+00
1.700000000000000e+01	2.481921e+00
1.800000000000000e+01	2.495731e+00
1.900000000000000e+01	2.515982e+00
2.000000000000000e+01	2.504319e+00
2.100000000000000e+01	2.502122e+00
2.200000000000000e+01	2.499627e+00
2.300000000000000e+01	2.501233e+00
2.400000000000000e+01	2.507639e+00
2.500000000000000e+01	2.497187e+00
2.600000000000000e+01	2.482375e+00
2.700000000000000e+01	2.498337e+00
2.800000000000000e+01	2.507929e+00
2.900000000000000e+01	2.507541e+00
3.000000000000000e+01	2.480206e+00
3.100000000000000e+01	2.499990e+00
3.200000000000000e+01	2.486861e+00
3.300000000000000e+01	2.503945e+00
3.400000000000000e+01	2.515104e+00
3.500000000000000e+01	2.514484e+00
3.600000000000000e+01	2.483651e+00
3.700000000000000e+01	2.492793e+00
3.800000000000000e+01	2.517232e+00
3.900000000000000e+01	2.502643e+00
4.000000000000000e+01	2.505174e+00
4.100000000000000e+01	2.518175e+00
4.200000000000000e+01	2.503446e+00
4.300000000000000e+01	2.499616e+00
4.400000000000000e+01	2.504233e+00
4.500000000000000e+01	2.508004e+00
4.600000000000000e+01	2.498711e+00
4.700000000000000e+01	2.494085e+00
4.800000000000000e+01	2.479761e+00
4.900000000000000e+01	2.499809e+00
5.000000000000000e+01	2.491550e+00
5.100000000000000e+01	2.487760e+00
5.200000000000000e+01	2.493971e+00
5.300000000000000e+01	2.508846e+00
5.400000000000000e+01	2.504747e+00
5.500000000000000e+01	2.506759e+00
5.600000000000000e+01	2.504772e+00
5.700000000000000e+01	2.501318e+00
5.800000000000000e+01	2.498982e+00
5.900000000000000e+01	2.497525e+00
6.000000000000000e+01	2.493773e+00
6.100000000000000e+01	2.511977e+00
6.200000000000000e+01	2.523564e+00
6.300000000000000e+01	2.507905e+00
6.400000000000000e+01	2.512715e+00
6.500000000000000e+01	2.515422e+00
6.600000000000000e+01	2.484558e+00
6.700000000000000e+01	2.477842e+00
6.800000000000000e+01	2.512975e+00
6.900000000000000e+01	2.513786e+00
7.000000000000000e+01	2.516857e+00
7.100000000000000e+01	2.497618e+00
7.200000000000000e+01	2.498451e+00
7.300000000000000e+01	2.509489e+00
7.400000000000000e+01	2.505350e+00
7.500000000000000e+01	2.507920e+00
7.600000000000000e+01	2.496075e+00
7.700000000000000e+01	2.493611e+00
7.800000000000000e+01	2.507421e+00
7.900000000000000e+01	2.486434e+00
8.000000000000000e+01	2.503266e+00
8.100000000000000e+01	2.483338e+00
8.200000000000000e+01	2.505505e+00
8.300000000000000e+01	2.506691e+00
8.400000000000000e+01	2.492471e+00
8.500000000000000e+01	2.491959e+00
8.600000000000000e+01	2.487457e+00
8.700000000000000e+01	2.502067e+00
8.800000000000000e+01	2.497535e+00
8.900000000000000e+01	2.496769e+00
9.000000000000000e+01	2.497126e+00
9.100000000000000e+01	2.489234e+00
9.200000000000000e+01	2.504691e+00
9.300000000000000e+01	2.501836e+00
9.400000000000000e+01	2.511777e+00
9.500000000000000e+01	2.492757e+00
9.600000000000000e+01	2.496119e+00
9.700000000000000e+01	2.489493e+00
9.800000000000000e+01	2.483785e+00
9.900000000000000e+01	2.511883e+00
1.000000000000000e+02	2.513868e+00
Step Information: Temp=-25  (Step: 2/10)
1.000000000000000e+00	2.489877e+00
2.000000000000000e+00	2.518698e+00
3.000000000000000e+00	2.481292e+00
4.000000000000000e+00	2.509358e+00
5.000000000000000e+00	2.492443e+00
6.000000000000000e+00	2.486900e+00
7.000000000000000e+00	2.482374e+00
8.000000000000000e+00	2.488917e+00
9.000000000000000e+00	2.502306e+00
1.000000000000000e+01	2.491856e+00
1.100000000000000e+01	2.513905e+00
1.200000000000000e+01	2.498785e+00
1.300000000000000e+01	2.490707e+00
1.400000000000000e+01	2.500670e+00
1.500000000000000e+01	2.499280e+00
1.600000000000000e+01	2.489760e+00
1.700000000000000e+01	2.484249e+00
1.800000000000000e+01	2.487364e+00
1.900000000000000e+01	2.494115e+00
2.000000000000000e+01	2.483264e+00
2.100000000000000e+01	2.479736e+00
2.200000000000000e+01	2.487578e+00
2.300000000000000e+01	2.496391e+00
2.400000000000000e+01	2.498427e+00
2.500000000000000e+01	2.481163e+00
2.600000000000000e+01	2.490500e+00
2.700000000000000e+01	2.505313e+00
2.800000000000000e+01	2.493896e+00
2.900000000000000e+01	2.508441e+00
3.000000000000000e+01	2.515454e+00
3.100000000000000e+01	2.501866e+00
3.200000000000000e+01	2.514176e+00
3.300000000000000e+01	2.489034e+00
3.400000000000000e+01	2.504096e+00
3.500000000000000e+01	2.484603e+00
3.600000000000000e+01	2.487428e+00
3.700000000000000e+01	2.506900e+00
3.800000000000000e+01	2.507189e+00
3.900000000000000e+01	2.509109e+00
4.000000000000000e+01	2.511258e+00
4.100000000000000e+01	2.506638e+00
4.200000000000000e+01	2.503702e+00
4.300000000000000e+01	2.516711e+00
4.400000000000000e+01	2.503457e+00
4.500000000000000e+01	2.500653e+00
4.600000000000000e+01	2.502209e+00
4.700000000000000e+01	2.502340e+00
4.800000000000000e+01	2.516277e+00
4.900000000000000e+01	2.512865e+00
5.000000000000000e+01	2.499892e+00
5.100000000000000e+01	2.489607e+00
5.200000000000000e+01	2.501557e+00
5.300000000000000e+01	2.490560e+00
5.400000000000000e+01	2.504189e+00
5.500000000000000e+01	2.487247e+00
5.600000000000000e+01	2.512800e+00
5.700000000000000e+01	2.512551e+00
5.800000000000000e+01	2.499104e+00
5.900000000000000e+01	2.506556e+00
6.000000000000000e+01	2.479236e+00
6.100000000000000e+01	2.497591e+00
6.200000000000000e+01	2.505219e+00
6.300000000000000e+01	2.514491e+00
6.400000000000000e+01	2.492747e+00
6.500000000000000e+01	2.508381e+00
6.600000000000000e+01	2.488389e+00
